pitch_accel,pitch_filtered,front_motor_pwm,back_motor_pwm,,,,,
281.0618,33.0128,1106.61536,1093.38464,,,,,
-222.1902,28.9962,1108.25317,1091.74683,,,,,
768.2222,44.9206,1107.24902,1092.75098,,,,,
-21.3982,44.9214,1111.2301,1088.7699,,,,,
295.8018,51.1168,1111.23035,1088.76965,,,,,
522.9378,61.4654,1112.77917,1087.22083,,,,,
-533.4212,50.6704,1115.36633,1084.63367,,,,,
-644.4308,38.2428,1112.6676,1087.3324,,,,,
-748.3824,23.567,1109.56067,1090.43933,,,,,
318.8332,30.4562,1105.89172,1094.10828,,,,,
87.5146,32.5938,1107.61401,1092.38599,,,,,
430.6972,41.4436,1108.14844,1091.85156,,,,,
-325.4622,34.9528,1110.36084,1089.63916,,,,,
3465.0564,104.3166,1108.73816,1091.26184,,,,,
252.5422,108.3294,1126.0791,1073.9209,,,,,
-53.5022,105.7136,1127.0824,1072.9176,,,,,
285.5248,109.7402,1126.42834,1073.57166,,,,,
346.6646,115.4684,1127.43506,1072.56494,,,,,
-383.5974,106.5414,1128.86707,1071.13293,,,,,
306.4424,110.8204,1126.63538,1073.36462,,,,,
228.5408,113.8424,1127.70508,1072.29492,,,,,
8.371,112.8378,1128.46057,1071.53943,,,,,
-97.4404,109.1016,1128.20947,1071.79053,,,,,
180.5028,111.0196,1127.27539,1072.72461,,,,,
-283.516,103.8794,1127.75488,1072.24512,,,,,
-608.5822,90.2796,1125.96985,1074.03015,,,,,
1464.8688,118.3466,1122.56995,1077.43005,,,,,
60.3362,117.4654,1129.58667,1070.41333,,,,,
3336.2192,182.1842,1129.36633,1070.63367,,,,,
136.0872,182.089,1145.54602,1054.45398,,,,,
-202.6952,174.8146,1145.52222,1054.47778,,,,,
-117.7234,169.0592,1143.70361,1056.29639,,,,,
-443.1376,157.2512,1142.26477,1057.73523,,,,,
710.4496,168.763,1139.31274,1060.68726,,,,,
28.1248,166.5278,1142.1908,1057.8092,,,,,
-190.4992,159.7418,1141.63196,1058.36804,,,,,
261.0466,161.9124,1139.93542,1060.06458,,,,,
192.7028,163.0344,1140.47815,1059.52185,,,,,
-370.661,152.8666,1140.75867,1059.24133,,,,,
-359.6114,143.107,1138.21667,1061.78333,,,,,
-128.6592,138.0618,1135.77673,1064.22327,,,,,
652.9786,148.4756,1134.5155,1065.4845,,,,,
501.933,155.9182,1137.1189,1062.8811,,,,,
303.6602,159.4128,1138.97949,1061.02051,,,,,
-654.7844,143.6928,1139.85315,1060.14685,,,,,
-137.2156,138.742,1135.92322,1064.07678,,,,,
-55.9196,135.202,1134.68555,1065.31445,,,,,
-287.5044,127.436,1133.80054,1066.19946,,,,,
16.4324,126.0754,1131.85901,1068.14099,,,,,
67.002,125.8478,1131.51892,1068.48108,,,,,
-37.7642,123.473,1131.46191,1068.53809,,,,,
-132.7606,119.176,1130.86829,1069.13171,,,,,
213.6934,122.094,1129.79407,1070.20593,,,,,
-165.5368,117.4832,1130.52344,1069.47656,,,,,
253.8722,121.5754,1129.37085,1070.62915,,,,,
-15.9494,120.1918,1130.3938,1069.6062,,,,,
-489.5818,109.214,1130.04797,1069.95203,,,,,
92.9242,110.1962,1127.30347,1072.69653,,,,,
184.2786,113.1998,1127.54907,1072.45093,,,,,
