pitch_accel,pitch_filtered,front_motor_pwm,back_motor_pwm,,,
11.9958,-45.2574,1088.2196,1111.7804,,,
-119.1156,-46.1304,1088.68567,1111.31433,,,
-51.366,-45.6772,1088.46741,1111.53259,,,
79.5772,-42.3752,1088.58069,1111.41931,,,
30.6908,-40.021,1089.40625,1110.59375,,,
-153.4244,-41.728,1089.99475,1110.00525,,,
32.618,-39.2042,1089.56799,1110.43201,,,
70.567,-35.5116,1090.19897,1109.80103,,,
-200.9904,-38.293,1091.12207,1108.87793,,,
45.4998,-35.675,1090.42676,1109.57324,,,
49.3136,-33.0186,1091.0813,1108.9187,,,
-87.4442,-33.4742,1091.74536,1108.25464,,,
-21.3676,-32.533,1091.63147,1108.36853,,,
2.4408,-30.8966,1091.86682,1108.13318,,,
-129.1816,-32.021,1092.27588,1107.72412,,,
-134.072,-33.2046,1091.99475,1108.00525,,,
-41.4506,-32.54,1091.69885,1108.30115,,,
110.059,-28.829,1091.86499,1108.13501,,,
-72.2252,-28.7508,1092.79272,1107.20728,,,
-175.2652,-30.927,1092.81226,1107.18774,,,
98.063,-27.3354,1092.26831,1107.73169,,,
56.41,-24.4836,1093.16614,1106.83386,,,
-131.793,-25.5662,1093.87915,1106.12085,,,
-123.4984,-26.6166,1093.6084,1106.3916,,,
99.9634,-22.818,1093.34583,1106.65417,,,
-75.7116,-22.7902,1094.29553,1105.70447,,,
-34.3078,-22.1034,1094.30237,1105.69763,,,
18.8122,-20.0864,1094.47412,1105.52588,,,
98.3514,-16.4168,1094.97839,1105.02161,,,
5.336,-14.8824,1095.89575,1104.10425,,,
-137.7396,-16.2734,1096.27942,1103.72058,,,
104.6386,-12.4794,1095.93164,1104.06836,,,
76.4814,-9.3812,1096.88013,1103.11987,,,
-158.6552,-11.3338,1097.65466,1102.34534,,,
58.8498,-8.6342,1097.1665,1102.8335,,,
89.394,-5.2904,1097.84143,1102.15857,,,
-27.179,-4.6038,1098.67737,1101.32263,,,
-78.1388,-4.9956,1098.84912,1101.15088,,,
43.4278,-2.6876,1098.7511,1101.2489,,,
-72.2106,-2.8458,1099.32812,1100.67188,,,
-46.9098,-2.6356,1099.28857,1100.71143,,,
-87.5744,-3.0794,1099.34106,1100.65894,,,
112.535,0.5898,1099.2301,1100.7699,,,
-140.3082,-1.0684,1100.14746,1099.85254,,,
12.1842,0.5136,1099.73291,1100.26709,,,
84.2996,3.6698,1100.12842,1099.87158,,,
-35.0274,4.2692,1100.91748,1099.08252,,,
-107.1064,3.2806,1101.06726,1098.93274,,,
99.9948,6.8586,1100.82019,1099.17981,,,
-3.4004,8.1946,1101.71472,1098.28528,,,
-110.8078,7.3796,1102.04871,1097.95129,,,
12.7796,9.2248,1101.84497,1098.15503,,,
49.589,11.808,1102.30627,1097.69373,,,
-60.5818,12.0706,1102.95203,1097.04797,,,
51.5176,14.7234,1103.01758,1096.98242,,,
22.601,16.9032,1103.68091,1096.31909,,,
8.9872,18.5954,1104.22583,1095.77417,,,
66.94,21.3576,1104.6488,1095.3512,,,
114.7188,25.295,1105.33936,1094.66064,,,
-53.7908,25.6088,1106.32373,1093.67627,,,
-17.5662,26.7198,1106.40222,1093.59778,,,
43.913,29.1164,1106.67993,1093.32007,,,
78.6496,32.0384,1107.27905,1092.72095,,,
-123.0284,30.827,1108.00964,1091.99036,,,
42.5106,32.9916,1107.70679,1092.29321,,,
117.3848,36.6426,1108.24792,1091.75208,,,
48.1318,38.824,1109.16064,1090.83936,,,
-30.7796,39.15,1109.70605,1090.29395,,,
98.1514,42.2158,1109.78748,1090.21252,,,
-16.1624,43.4062,1110.55396,1089.44604,,,
-52.4676,43.2974,1110.85156,1089.14844,,,
162.7874,47.5766,1110.82434,1089.17566,,,
203.0184,52.6596,1111.89417,1088.10583,,,
-146.3522,50.1986,1113.16492,1086.83508,,,
8.0746,51.0864,1112.54968,1087.45032,,,
283.433,58.0702,1112.77161,1087.22839,,,
-92.2976,57.004,1114.51758,1085.48242,,,
-217.1976,53.1376,1114.25098,1085.74902,,,
302.7056,60.4992,1113.28442,1086.71558,,,
125.245,63.8622,1115.12476,1084.87524,,,
-279.9594,58.517,1115.96558,1084.03442,,,
264.3878,64.7668,1114.62927,1085.37073,,,
355.9318,73.0582,1116.19165,1083.80835,,,
-266.329,67.9098,1118.26453,1081.73547,,,
155.6908,71.5276,1116.97742,1083.02258,,,
125.2766,74.6282,1117.88184,1082.11816,,,
