connected to i2c device 5
imu who am i is 113 
                    
calibration complete, 1.157613 -0.554720 1.499686 2.989242 -3.085058 0.000000
shared memory attached at address 0xb6f1d000
segment size: 25600
1332.45435,1267.54565,  17.77912,   7.13594,   0.04301,    0.42706
1296.97180,1303.02820,  -3.64487,  -7.83338,  -0.00868,    0.15870
1265.90564,1334.09436, -23.71079,  12.72083,  -0.05695,    0.08100
1345.80701,1254.19299,  25.65290,  -6.85679,   0.06170,    0.54727
1285.70483,1314.29517, -10.22161,  -0.02065,  -0.02459,    0.04386
1288.21631,1311.78369, -11.10665,  17.74113,  -0.02662,    0.34959
1336.00903,1263.99097,  17.24505,  -4.52213,   0.04247,    0.76773
1291.03943,1308.96057,  -8.25317,   4.05358,  -0.01975,    0.22903
1288.31543,1311.68457,  -9.53494,  12.15624,  -0.02280,    0.16427
1312.34192,1287.65808,   4.56461,   1.55106,   0.01206,    0.39287
1309.01001,1290.98999,   3.93898,   0.51343,   0.00974,    0.20059
1280.17566,1319.82434, -15.63865,   7.22750,  -0.03761,    0.24219
1312.94812,1287.05188,   3.84742,  -4.04909,   0.00924,    0.52356
1312.13647,1287.86353,   5.00713,   3.88572,   0.01200,    0.31819
1288.03430,1311.96570, -11.99168,  -2.11116,  -0.02934,    0.42816
1308.16345,1291.83655,  -1.38650,  -0.84465,  -0.00333,    0.76283
1328.89062,1271.10938,  13.85749,   5.09120,   0.03331,    0.58936
1296.98572,1303.01428,  -5.33865,  -6.59738,  -0.01282,    0.33915
1307.30786,1292.69214,  -1.27969,  -0.84465,  -0.00306,    0.67515
1325.75513,1274.24487,  13.01824,  -0.55472,   0.03199,    0.43344
1299.87512,1300.12488,  -2.72932, -10.32064,  -0.00654,    0.25174
1297.50879,1302.49121,  -6.51361,  -1.07353,  -0.01552,    0.51449
1322.27979,1277.72021,   9.75275,   6.93757,   0.02325,    0.54204
1313.16870,1286.83130,   4.64090, -13.67768,   0.01138,    0.42488
1284.51648,1315.48352, -16.05065,  -6.47531,  -0.03887,    0.61323
1310.48962,1289.51038,   1.54328,   6.09832,   0.00449,    0.57750
1324.25049,1275.74951,  10.21053,   4.20617,   0.02770,    0.63576
1332.55933,1267.44067,  16.25320,  -1.01250,   0.04982,    0.57305
1309.18030,1290.81970,   1.10076, -13.47931,   0.00263,    0.51895
1285.90344,1314.09656, -14.52472,   7.99046,  -0.03480,    0.52974
1332.97498,1267.02502,  16.93986,   3.50424,   0.04199,    0.51764
1322.64282,1277.35718,  10.43942, -15.34094,   0.02512,    0.46924
1276.78625,1323.21375, -19.88072,   8.96706,  -0.04791,    0.43739
1308.87048,1291.12952,   1.92476,   9.02809,   0.00461,    0.38592
1306.91968,1293.08032,  -0.24206,  -6.38376,  -0.00058,    0.48792
1289.44153,1310.55847,  -9.87065,   1.58158,  -0.02437,    0.24412
1293.28088,1306.71912,  -7.24606,   9.15017,  -0.01738,    0.23538
1319.78369,1280.21631,   9.60016,   2.35980,   0.02295,    0.33273
1305.16736,1294.83264,   1.20757,   5.68632,   0.00289,    0.16985
1296.70056,1303.29944,  -5.70487,   3.22958,  -0.01387,    0.32072
1296.28992,1303.71008,  -4.81983,   2.34454,  -0.01163,    0.18094
1309.12085,1290.87915,   3.72535,   8.67713,   0.00890,    0.18127
1307.36584,1292.63416,   1.81794,  -1.71442,   0.00432,    0.26868
1295.12402,1304.87598,  -6.39154,   7.19698,  -0.01583,    0.27337
1309.11145,1290.88855,   2.79453,   9.63846,   0.00673,    0.28889
1318.87109,1281.12891,   9.05083,  -2.09590,   0.02168,    0.31764
1290.10461,1309.89539,  -9.77909,  -3.02672,  -0.02333,    0.27481
1307.10486,1292.89514,   1.37542,   4.48083,   0.00339,    0.29511
1324.91235,1275.08765,  12.65201,  -9.03887,   0.03034,    0.36506
1290.01379,1309.98621,  -9.93168, -10.19857,  -0.02367,    0.28208
1287.78088,1312.21912,  -9.93168,   9.76054,  -0.02386,    0.10304
1322.23767,1277.76233,  12.16372,  -6.00227,   0.02951,    0.20731
1294.47058,1305.52942,  -6.17791, -19.47620,  -0.01485,    0.18618
1285.06799,1314.93201, -11.18294,   7.59372,  -0.02679,    0.03445
1327.57336,1272.42664,  16.19216,   0.26928,   0.03880,    0.14927
1305.61121,1294.38879,   0.36831, -17.88923,   0.00088,    0.28999
1280.75293,1319.24707, -14.64679,  10.52350,  -0.03499,    0.10274
1320.32922,1279.67078,  10.72935,   7.19698,   0.02584,    0.22281
1314.86108,1285.13892,   6.57883, -18.69797,   0.01573,    0.28229
1282.41284,1317.58716, -14.15850,   3.85520,  -0.03499,    0.17421
1310.04480,1289.95520,   4.54935,  10.27935,   0.01095,    0.13927
1319.47791,1280.52209,  10.04268, -15.05101,   0.02409,    0.23379
1276.43066,1323.56934, -17.69864,   4.16039,  -0.04203,    0.11849
1307.62744,1292.37256,   3.54224,  16.32202,   0.00842,    0.06507
1321.45386,1278.54614,  11.88905, -10.97679,   0.02869,    0.16889
1287.59851,1312.40149,  -9.18398,   0.49817,  -0.02203,   -0.01073
1302.70557,1297.29443,   1.58905,  11.88157,   0.00382,   -0.09456
1304.38416,1295.61584,   1.72639,  -2.05013,   0.00415,    0.02316
1295.65698,1304.34302,  -4.19420,   1.94780,  -0.01018,    0.03531
1300.21680,1299.78320,  -0.02843,   6.41876,  -0.00007,   -0.09940
