connected to i2c device 5
imu who am i is 113 
                    
calibration complete, -2.695923 -2.784371 2.228475 -1.994713 1.183828 0.000000
shared memory attached at address 0xb6f7e000
segment size: 25600
calibration complete, 4.137041 2.280841 -0.872952 -3.076362 3.127099 0.000000
   0.00000,  -1.63672
   0.00000,  -1.51647
   0.00000,  -1.58464
   0.00000,  -1.44058
   0.00000,  -1.45002
   0.00000,  -1.51875
   0.00000,  -1.39531
   0.00000,  -1.31789
   0.00000,  -1.39760
   0.00000,  -1.27378
   0.00000,  -1.41225
   0.00000,  -1.29895
   0.00000,  -1.33366
   0.00000,  -1.35294
   0.00000,  -1.22558
   0.00000,  -1.17424
   0.00000,  -1.39248
   0.00000,  -1.19260
   0.00000,  -1.40987
   0.00000,  -1.35711
   0.00000,  -1.19757
   0.00000,  -1.32556
   0.00000,  -1.23544
   0.00000,  -1.22679
   0.00000,  -1.56344
   0.00000,  -1.37100
   0.00000,  -1.50750
   0.00000,  -1.58739
   0.00000,  -1.77081
   0.00000,  -1.66127
   0.00000,  -1.84872
   0.00000,  -1.81586
   0.00000,  -1.76206
   0.00000,  -1.88921
   0.00000,  -1.75403
   0.00000,  -1.90698
   0.00000,  -1.97880
   0.00000,  -1.78661
   0.00000,  -1.89179
   0.00000,  -1.86909
   0.00000,  -1.78711
   0.00000,  -1.94807
   0.00000,  -1.83670
   0.00000,  -1.86921
   0.00000,  -2.04515
   0.00000,  -1.94514
   0.00000,  -1.93614
   0.00000,  -2.04910
   0.00000,  -1.92113
   0.00000,  -1.80792
   0.00000,  -2.01971
   0.00000,  -1.78853
   0.00000,  -1.68730
   0.00000,  -1.82127
   0.00000,  -1.64494
   0.00000,  -1.62988
   0.00000,  -1.53876
   0.00000,  -1.42388
   0.00000,  -1.51962
   0.00000,  -1.39193
   0.00000,  -1.23000
   0.00000,  -1.41393
   0.00000,  -1.19721
   0.00000,  -1.06896
   0.00000,  -1.10606
   0.00000,  -1.05286
   0.00000,  -0.99839
   0.00000,  -0.97100
   0.00000,  -0.77200
   0.00000,  -0.97757
   0.00000,  -0.87320
   0.00000,  -0.70234
   0.00000,  -0.85045
   0.00000,  -0.99759
   0.00000,  -0.92644
   0.00000,  -0.83709
   0.00000,  -0.87868
   0.00000,  -0.82870
   0.00000,  -0.90228
   0.00000,  -0.80348
   0.00000,  -0.89530
   0.00000,  -0.91045
   0.00000,  -0.93021
   0.00000,  -0.73910
   0.00000,  -0.95246
   0.00000,  -0.88151
   0.00000,  -0.80847
   0.00000,  -0.80097
   0.00000,  -0.72952
   0.00000,  -0.78848
   0.00000,  -0.71037
   0.00000,  -0.58849
   0.00000,  -0.70527
   0.00000,  -0.69560
   0.00000,  -0.51980
   0.00000,  -0.61622
   0.00000,  -0.64480
   0.00000,  -0.68036
   0.00000,  -0.65051
   0.00000,  -0.59392
   0.00000,  -0.53248
   0.00000,  -0.51929
   0.00000,  -0.34915
   0.00000,  -0.42543
   0.00000,  -0.55537
   0.00000,  -0.42161
   0.00000,  -0.45475
   0.00000,  -0.50360
   0.00000,  -0.48326
   0.00000,  -0.37171
   0.00000,  -0.40531
   0.00000,  -0.36261
   0.00000,  -0.48705
   0.00000,  -0.57001
   0.00000,  -0.63057
   0.00000,  -0.60237
   0.00000,  -0.73138
   0.00000,  -0.74317
   0.00000,  -0.69406
   0.00000,  -0.63763
   0.00000,  -0.77748
   0.00000,  -0.83493
   0.00000,  -0.72017
   0.00000,  -0.77998
   0.00000,  -0.76224
   0.00000,  -0.87826
   0.00000,  -0.74670
   0.00000,  -0.69781
   0.00000,  -0.86651
   0.00000,  -0.81136
   0.00000,  -0.73764
   0.00000,  -0.81129
   0.00000,  -0.85299
   0.00000,  -0.95541
   0.00000,  -0.77310
   0.00000,  -0.64047
   0.00000,  -0.79109
   0.00000,  -0.76299
   0.00000,  -0.64419
   0.00000,  -0.75797
   0.00000,  -0.70846
   0.00000,  -0.79865
   0.00000,  -0.67832
   0.00000,  -0.45169
   0.00000,  -0.58488
   0.00000,  -0.51701
   0.00000,  -0.31633
   0.00000,  -0.49934
   0.00000,  -0.50708
   0.00000,  -0.50835
   0.00000,  -0.52587
   0.00000,  -0.29521
   0.00000,  -0.48085
   0.00000,  -0.80459
   0.00000,  -0.53396
   0.00000,  -0.85600
   0.00000,  -0.97306
   0.00000,  -0.80910
   0.00000,  -0.97220
   0.00000,  -0.89842
   0.00000,  -0.93262
   0.00000,  -1.14734
   0.00000,  -0.78992
   0.00000,  -1.21762
   0.00000,  -1.42947
   0.00000,  -1.10233
   0.00000,  -1.33758
   0.00000,  -1.40066
   0.00000,  -1.35089
   0.00000,  -1.60201
   0.00000,  -1.34400
   0.00000,  -1.54980
   0.00000,  -1.69978
   0.00000,  -1.46604
   0.00000,  -1.39741
   0.00000,  -1.51797
   0.00000,  -1.41829
   0.00000,  -1.62743
   0.00000,  -1.39266
   0.00000,  -1.67582
   0.00000,  -1.80837
   0.00000,  -1.57167
   0.00000,  -1.80714
   0.00000,  -1.87580
   0.00000,  -1.84220
   0.00000,  -2.05852
   0.00000,  -1.83836
   0.00000,  -2.09843
   0.00000,  -2.25133
   0.00000,  -1.98676
   0.00000,  -2.08527
   0.00000,  -2.05154
   0.00000,  -2.12288
   0.00000,  -2.15307
   0.00000,  -2.25757
   0.00000,  -2.08476
   0.00000,  -2.24279
   0.00000,  -2.16444
   0.00000,  -2.24317
   0.00000,  -2.22373
   0.00000,  -1.91156
   0.00000,  -2.03894
   0.00000,  -2.01313
   0.00000,  -2.00869
   0.00000,  -1.95646
   0.00000,  -1.68738
   0.00000,  -1.82509
   0.00000,  -1.65103
   0.00000,  -1.60376
   0.00000,  -1.59950
   0.00000,  -1.46247
   0.00000,  -1.61943
   0.00000,  -1.37540
   0.00000,  -1.32855
   0.00000,  -1.31952
   0.00000,  -1.24943
   0.00000,  -1.24497
   0.00000,  -1.25663
   0.00000,  -1.02354
   0.00000,  -1.25046
   0.00000,  -1.10157
   0.00000,  -1.17305
   0.00000,  -1.17856
   0.00000,  -1.10271
   0.00000,  -1.41546
   0.00000,  -1.34424
   0.00000,  -1.28272
   0.00000,  -1.25267
   0.00000,  -1.35825
   0.00000,  -1.58756
   0.00000,  -1.41629
   0.00000,  -1.47047
   0.00000,  -1.46341
   0.00000,  -1.49206
   0.00000,  -1.69437
   0.00000,  -1.54142
   0.00000,  -1.61092
   0.00000,  -1.71805
